Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrial,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2003,1,1,,,,,1.54505709263,,,,,33,1,,5,90,0,1,3,3.12914530073,0,How to paint a picture?, Use a brush.,4
2003,2,2,,,,,1.72046055403,,,,,34,1,,5,90,0,1,3,1.73843842237,0,How to clip coupons?, Cut paper.,4
2003,3,1,,,,,1.03946273674,,,,,20,1,,5,90,0,1,3,3.76689752272,0,Why throw away trash?, Make a list.,1
2003,4,2,,,,,0.73500950282,,,,,22,1,,5,90,0,1,3,3.0332068583,0,Why click a mouse?, Open a browser.,1
2003,5,1,,,,,2.38234393152,,,,,40,1,,5,90,0,1,3,1.07000848096,0,Why read articles?, Gain knowledge.,2
2003,6,2,,,,,2.46562658418,,,,,32,1,,5,90,0,1,3,1.75920080665,0,Why go shopping?, Make a purchase.,2
2003,7,1,,,,,0.570071246342,,,,,37,1,,5,90,0,1,3,1.09593653787,0,Why avoid diseases?, Live a long life.,3
2003,8,2,,,,,2.47670543492,,,,,36,1,,5,90,0,1,3,2.22347815794,0,Why satisfy hunger?, Show an ability.,3
2003,9,2,,,,,1.37521419445,,,,,26,1,,5,90,0,1,3,1.4927856024,0,How to avoid boredom?, Entertain oneself.,6
2003,10,2,,,,,1.84398849317,,,,,25,1,,5,90,0,1,3,0.899351874988,0,How to spread knowledge?, Teach others.,6
2003,11,1,,,,,5.76051315564,,,,,23,1,,5,90,0,1,3,3.56063364231,0,How to entertain others?, Write a song.,5
2003,12,1,,,,,1.0919142793,,,,,21,1,,5,90,0,1,3,0.747723404905,1,How to get a promotion?, Arrive on time.,5
