resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 2.7339999999999804, 2, 0.5320000000000107, , , , , , , 0, -1, -1, 0, 2000, 1, 2, 6.006999999999977, 0.01, 0.01, , 2.30638875208, 20.181999999999988, 26.188999999999993, , 14.368421052631579, 26, 1, , 5, 90, 0, 3, 2, 2.34803832092, 9, Why open a magazine?,  Read articles., 1, 15.576999999999998, 17.861999999999995, 0, 0, 0, 0, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 1, 2, 6.006999999999977, 0.01, 0.01, , 2.30638875208, 20.181999999999988, 26.188999999999993, , 14.368421052631579, 26, 1, , 5, 90, 0, 3, 2, 2.34803832092, 9, Why open a magazine?,  Read articles., 1, 15.576999999999998, 17.861999999999995, 0, 0, 0, 0, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 2, 1, 0, 0.01, 0.01, , 2.89164736758, 26.195999999999998, 26.199000000000012, , 17.131578947368425, 31, 1, , 5, 90, 0, 3, 2, 1.19575717455, 34, Why cut paper?,  Clip coupons., 1, 26.191000000000003, 26.192000000000007, 0, 1, 1, 1, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 2, 1, 0, 0.01, 0.01, , 2.89164736758, 26.195999999999998, 26.199000000000012, , 17.131578947368425, 31, 1, , 5, 90, 0, 3, 2, 1.19575717455, 34, Why cut paper?,  Clip coupons., 1, 26.191000000000003, 26.192000000000007, 0, 1, 1, 1, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 3, 1, 0, 0.01, 0.01, , 2.22592907333, 26.201999999999998, 26.215000000000003, , 12.710526315789476, 23, 1, , 5, 90, 0, 3, 2, 1.67872151752, 16, How to reduce worry?,  Plan ahead., 6, 26.199000000000012, 26.200999999999993, 0, 2, 2, 2, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 3, 1, 0, 0.01, 0.01, , 2.22592907333, 26.201999999999998, 26.215000000000003, , 12.710526315789476, 23, 1, , 5, 90, 0, 3, 2, 1.67872151752, 16, How to reduce worry?,  Plan ahead., 6, 26.199000000000012, 26.200999999999993, 0, 2, 2, 2, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 4, 2, 0, 0.01, 0.01, , 1.37949873403, 26.228999999999985, 26.24000000000001, , 19.894736842105267, 36, 1, , 5, 90, 0, 3, 2, 3.36518887933, 38, How to feel connected?,  Contact a friend., 6, 26.224999999999994, 26.22800000000001, 0, 3, 3, 3, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 4, 2, 0, 0.01, 0.01, , 1.37949873403, 26.228999999999985, 26.24000000000001, , 19.894736842105267, 36, 1, , 5, 90, 0, 3, 2, 3.36518887933, 38, How to feel connected?,  Contact a friend., 6, 26.224999999999994, 26.22800000000001, 0, 3, 3, 3, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 5, 1, 0, 0.01, 0.01, , 1.48468480938, 26.242999999999995, 26.25200000000001, , 12.157894736842106, 22, 1, , 5, 90, 0, 3, 2, 1.32982551352, 2, How to save money?,  Clip coupons., 5, 26.24199999999999, 26.242999999999995, 0, 4, 4, 4, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 5, 1, 0, 0.01, 0.01, , 1.48468480938, 26.242999999999995, 26.25200000000001, , 12.157894736842106, 22, 1, , 5, 90, 0, 3, 2, 1.32982551352, 2, How to save money?,  Clip coupons., 5, 26.24199999999999, 26.242999999999995, 0, 4, 4, 4, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 6, 2, 0, 0.01, 0.01, , 2.4705321907, 26.256, 26.25800000000001, , 17.684210526315788, 32, 1, , 5, 90, 0, 3, 2, 3.26954064783, 28, How to reduce pain?,  Consume medicine., 5, 26.25399999999999, 26.254999999999995, 0, 5, 5, 5, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 6, 2, 0, 0.01, 0.01, , 2.4705321907, 26.256, 26.25800000000001, , 17.684210526315788, 32, 1, , 5, 90, 0, 3, 2, 3.26954064783, 28, How to reduce pain?,  Consume medicine., 5, 26.25399999999999, 26.254999999999995, 0, 5, 5, 5, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 7, 1, 0, 0.01, 0.01, , 2.20545816684, 26.262, 26.262, , 19.342105263157897, 35, 1, , 5, 90, 0, 3, 2, 2.14424060309, 23, How to read articles?,  Open a magazine., 4, 26.25800000000001, 26.258999999999986, 0, 6, 6, 6, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 7, 1, 0, 0.01, 0.01, , 2.20545816684, 26.262, 26.262, , 19.342105263157897, 35, 1, , 5, 90, 0, 3, 2, 2.14424060309, 23, How to read articles?,  Open a magazine., 4, 26.25800000000001, 26.258999999999986, 0, 6, 6, 6, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 8, 1, 0, 0.01, 0.01, , 1.62967726632, 26.268, 26.27000000000001, , 21, 38, 1, , 5, 90, 0, 3, 2, 2.57471769809, 1, How to consume medicine?,  Take pills. , 4, 26.26599999999999, 26.26599999999999, 0, 7, 7, 7, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 8, 1, 0, 0.01, 0.01, , 1.62967726632, 26.268, 26.27000000000001, , 21, 38, 1, , 5, 90, 0, 3, 2, 2.57471769809, 1, How to consume medicine?,  Take pills. , 4, 26.26599999999999, 26.26599999999999, 0, 7, 7, 7, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 9, 1, 0, 0.01, 0.01, , 2.57148303868, 26.270999999999987, 26.274, , 22.10526315789474, 40, 1, , 5, 90, 0, 3, 2, 1.00084714473, 56, Why write a poem?,  Express an idea., 2, 26.270999999999987, 26.270999999999987, 0, 8, 8, 8, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 9, 1, 0, 0.01, 0.01, , 2.57148303868, 26.270999999999987, 26.274, , 22.10526315789474, 40, 1, , 5, 90, 0, 3, 2, 1.00084714473, 56, Why write a poem?,  Express an idea., 2, 26.270999999999987, 26.270999999999987, 0, 8, 8, 8, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 10, 1, 0, 0.01, 0.01, , 1.75936134495, 26.27799999999999, 26.28200000000001, , 16.578947368421055, 30, 1, , 5, 90, 0, 3, 2, 1.84157328904, 44, Why make breakfast?,  Satisfy hunger., 2, 26.27600000000001, 26.276999999999987, 0, 9, 9, 9, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60, , , , , 0, -1, -1, 0, 2000, 10, 1, 0, 0.01, 0.01, , 1.75936134495, 26.27799999999999, 26.28200000000001, , 16.578947368421055, 30, 1, , 5, 90, 0, 3, 2, 1.84157328904, 44, Why make breakfast?,  Satisfy hunger., 2, 26.27600000000001, 26.276999999999987, 0, 9, 9, 9, 2000, 3, 2, 0.01, fmri_v220180219183556, 35, Mon Feb 19 2018 21:13:44 GMT-0800 (PST), stroop, 60
