resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, finish_screen_end_response.keys, finish_screen_end_response.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 5.730000000000004, , , , , , , , , 0, -1, -1, 0, 2003, 1, 1, 6.002999999999986, 0.01, 0.01, , 1.86266871849, 18.292, 24.293999999999983, , 25, 30, 1, , 3, 23.599999999999998, 1, 2, 2, 1.54364369935, 25, Why click a mouse?,  Open a browser., 1, 12.407999999999987, 16.424000000000007, 0, 0, 0, 0, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 1, 1, 6.002999999999986, 0.01, 0.01, , 1.86266871849, 18.292, 24.293999999999983, , 25, 30, 1, , 3, 23.599999999999998, 1, 2, 2, 1.54364369935, 25, Why click a mouse?,  Open a browser., 1, 12.407999999999987, 16.424000000000007, 0, 0, 0, 0, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 2, 2, 6.0020000000000095, 0.01, 0.01, , 1.55305110583, 31.433999999999997, 37.43799999999999, , 25, 30, 1, , 1, 21.199999999999996, 1, 2, 2, 1.87700965649, 14, Why take aspirin?,  Serve alcohol., 1, 25.86099999999999, 29.863, 0, 1, 1, 1, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 2, 2, 6.0020000000000095, 0.01, 0.01, , 1.55305110583, 31.433999999999997, 37.43799999999999, , 25, 30, 1, , 1, 21.199999999999996, 1, 2, 2, 1.87700965649, 14, Why take aspirin?,  Serve alcohol., 1, 25.86099999999999, 29.863, 0, 1, 1, 1, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 3, 1, 6.150000000000006, 0.01, 0.01, , 2.1463434118, 45.754999999999995, 51.905, , 25, 30, 1, , 2, 22.40000000000002, 1, 2, 2, 3.04786609103, 55, Why watch television?,  Show competence., 2, 39.602000000000004, 43.60299999999998, 0, 2, 2, 2, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 3, 1, 6.150000000000006, 0.01, 0.01, , 2.1463434118, 45.754999999999995, 51.905, , 25, 30, 1, , 2, 22.40000000000002, 1, 2, 2, 3.04786609103, 55, Why watch television?,  Show competence., 2, 39.602000000000004, 43.60299999999998, 0, 2, 2, 2, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 4, 1, 0, 0.01, 0.01, , 1.47860942156, 51.90799999999999, 51.90899999999999, , 25, 30, 1, , 8, 29.600000000000005, 1, 2, 2, 2.34225015835, 4, Why enter a classroom?,  Attend a school., 2, 51.90699999999998, 51.90699999999998, 0, 3, 3, 3, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 4, 1, 0, 0.01, 0.01, , 1.47860942156, 51.90799999999999, 51.90899999999999, , 25, 30, 1, , 8, 29.600000000000005, 1, 2, 2, 2.34225015835, 4, Why enter a classroom?,  Attend a school., 2, 51.90699999999998, 51.90699999999998, 0, 3, 3, 3, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 5, 1, 0, 0.01, 0.01, , 1.51708613203, 51.91299999999998, 51.91399999999999, , 25, 30, 1, , 7, 28.400000000000023, 1, 2, 2, 1.47723030824, 33, How to get a degree?,  Attend a school., 6, 51.911, 51.912000000000006, 0, 4, 4, 4, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 5, 1, 0, 0.01, 0.01, , 1.51708613203, 51.91299999999998, 51.91399999999999, , 25, 30, 1, , 7, 28.400000000000023, 1, 2, 2, 1.47723030824, 33, How to get a degree?,  Attend a school., 6, 51.911, 51.912000000000006, 0, 4, 4, 4, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 6, 1, 0, 0.01, 0.01, , 3.56763624467, 51.917, 51.91899999999998, , 25, 30, 1, , 9, 30.800000000000004, 1, 2, 2, 1.04852491087, 53, How to spread joy?,  Get a job., 6, 51.91499999999999, 51.916, 0, 5, 5, 5, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 6, 1, 0, 0.01, 0.01, , 3.56763624467, 51.917, 51.91899999999998, , 25, 30, 1, , 9, 30.800000000000004, 1, 2, 2, 1.04852491087, 53, How to spread joy?,  Get a job., 6, 51.91499999999999, 51.916, 0, 5, 5, 5, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 7, 2, 0, 0.01, 0.01, , 1.62621009044, 51.923, 51.92400000000001, , 25, 30, 1, , 5, 26, 1, 2, 2, 2.20554590384, 0, How to express doubt?,  Use scissors., 5, 51.91999999999999, 51.91999999999999, 0, 6, 6, 6, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 7, 2, 0, 0.01, 0.01, , 1.62621009044, 51.923, 51.92400000000001, , 25, 30, 1, , 5, 26, 1, 2, 2, 2.20554590384, 0, How to express doubt?,  Use scissors., 5, 51.91999999999999, 51.91999999999999, 0, 6, 6, 6, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 8, 2, 0, 0.01, 0.01, , 1.75107615858, 51.92599999999999, 51.929, , 25, 30, 1, , 4, 24.8, 1, 2, 2, 1.62147661914, 31, How to provide food?,  Prepare meals., 5, 51.92499999999998, 51.92599999999999, 0, 7, 7, 7, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 8, 2, 0, 0.01, 0.01, , 1.75107615858, 51.92599999999999, 51.929, , 25, 30, 1, , 4, 24.8, 1, 2, 2, 1.62147661914, 31, How to provide food?,  Prepare meals., 5, 51.92499999999998, 51.92599999999999, 0, 7, 7, 7, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 9, 2, 0, 0.01, 0.01, , 2.08062041417, 51.93099999999998, 51.934, , 25, 30, 1, , 2, 22.40000000000002, 1, 2, 2, 1.32214478745, 11, Why attend a school?,  Get a degree., 3, 51.93099999999998, 51.93099999999998, 0, 8, 8, 8, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 9, 2, 0, 0.01, 0.01, , 2.08062041417, 51.93099999999998, 51.934, , 25, 30, 1, , 2, 22.40000000000002, 1, 2, 2, 1.32214478745, 11, Why attend a school?,  Get a degree., 3, 51.93099999999998, 51.93099999999998, 0, 8, 8, 8, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2003, 10, 1, 0.0010000000000047748, 0.01, 0.01, , 1.43727660937, 51.94, 51.94, , 25, 30, 1, , 5, 26, 1, 2, 2, 1.45154842943, 18, Why finish a job?,  Feel productive., 3, 51.93600000000001, 51.93699999999998, 0, 9, 9, 9, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2003, 10, 1, 0.0010000000000047748, 0.01, 0.01, , 1.43727660937, 51.94, 51.94, , 25, 30, 1, , 5, 26, 1, 2, 2, 1.45154842943, 18, Why finish a job?,  Feel productive., 3, 51.93600000000001, 51.93699999999998, 0, 9, 9, 9, 2003, 2, 2, 0.01, fmri_v320180221225154, 60, Thu Feb 22 2018 00:40:21 GMT-0800 (PST), stroop, 60
