Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrial,"(69, 'RewardTrial')",Construal_QuestionText,Construal_AnswerText,Construal_Condition
1.0,1.0,2.0,,,,,1.00102724516,,,,,20.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.58671506365,0.0,1.0,Why give a lecture?, Teach others.,2
1.0,2.0,2.0,,,,,0.726245230303,,,,,39.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.34474824087,0.0,1.0,Why show intelligence?, Impress others.,3
1.0,3.0,2.0,,,,,1.24793618955,,,,,27.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.1136343771,0.0,1.0,How to prepare meals?, Follow recipes.,4
1.0,4.0,2.0,,,,,3.44925211186,,,,,31.0,1.0,,5.0,90.0,0.0,1.0,1.0,0.588307000748,0.0,1.0,Why wash ones hands?, Kill germs.,1
1.0,5.0,1.0,,,,,0.729258267777,,,,,36.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.07342874681,0.0,1.0,How to feel productive?, Finish a job.,6
1.0,6.0,1.0,,,,,2.93329618301,,,,,35.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.30024866913,0.0,1.0,How to plan ahead?, Make a list.,5
1.0,7.0,2.0,,,,,1.12979210982,,,,,26.0,1.0,,5.0,90.0,0.0,1.0,1.0,0.788698669491,0.0,1.0,Why drink wine?, Consume alcohol.,2
1.0,8.0,1.0,,,,,1.19952790392,,,,,32.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.4520010159,0.0,1.0,How to save money?, Clip coupons.,5
1.0,9.0,1.0,,,,,0.592601740449,,,,,33.0,1.0,,5.0,90.0,0.0,1.0,1.0,0.741168397253,0.0,1.0,Why keep a memory?, Feel nostalgia.,3
1.0,10.0,2.0,,,,,1.59780871724,,,,,40.0,1.0,,5.0,90.0,0.0,1.0,1.0,1.25023745746,0.0,1.0,How to feel well?, Reduce pain.,6
