resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 1.3330000000000268, 1, 0.5620000000000118, , , , , , , 0, -1, -1, 0, 2001, 1, 2, 0.9849999999999852, 0.01, 0.007498942093324559, , 1.54924207739, 17.296999999999997, 18.281999999999982, , 25, 30, 1, 2, 5, 26, 1, 3, 2, 1.94310362742, 52, Why finish a job?,  Feel productive., 3, 13.425999999999988, 15.744, 0, 0, 0, 0, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 2, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.52183192815, 19.285999999999973, 19.286999999999978, , 25, 30, 1, , 1, 27.870428643266465, 1, 3, 2, 2.31625146183, 0, Why save money?,  Get fit., 3, 19.284999999999997, 19.284999999999997, 0, 1, 1, 1, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 3, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.95840062099, 19.288999999999987, 19.289999999999992, , 25, 30, 1, , 2, 29.070428643266485, 1, 3, 2, 1.03134380205, 13, How to impress others?,  Show intelligence., 6, 19.286999999999978, 19.287999999999982, 0, 2, 2, 2, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 4, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.6901759263, 19.290999999999997, 19.291999999999973, , 25, 30, 1, , 6, 33.87042864326645, 1, 3, 2, 1.30694669819, 47, How to show humility?,  Build muscles., 6, 19.290999999999997, 19.290999999999997, 0, 3, 3, 3, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 5, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.88555377546, 19.293999999999983, 19.293999999999983, , 25, 30, 1, , 3, 30.270428643266477, 1, 3, 2, 1.20592933567, 23, Why teach a class?,  Obey laws., 2, 19.291999999999973, 19.292999999999978, 0, 4, 4, 4, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 6, 2, 0, 0.007498942093324559, 0.007498942093324559, , 3.24579127294, 19.295999999999992, 19.296999999999997, , 25, 30, 1, , 9, 37.47042864326649, 1, 3, 2, 1.1847348671, 32, Why kill germs?,  Avoid diseases., 2, 19.294999999999987, 19.294999999999987, 0, 5, 5, 5, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 7, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.62963144906, 19.298999999999978, 19.299999999999983, , 25, 30, 1, , 4, 31.470428643266498, 1, 3, 2, 2.61885166558, 33, How to satisfy hunger?,  Make breakfast., 5, 19.298999999999978, 19.298999999999978, 0, 6, 6, 6, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 8, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.38036084358, 19.300999999999988, 19.301999999999992, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 1.03846748528, 51, How to express doubt?,  Use scissors., 5, 19.299999999999983, 19.299999999999983, 0, 7, 7, 7, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 9, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.4464622709, 19.303999999999974, 19.30499999999998, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 4.20626324261, 42, How to clip coupons?,  Cut paper., 4, 19.302999999999997, 19.302999999999997, 0, 8, 8, 8, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 10, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.09354739298, 19.305999999999983, 19.306999999999988, , 25, 30, 1, , 8, 36.27042864326646, 1, 3, 2, 2.13751534389, 2, How to participate in class?,  Raise a hand., 4, 19.30499999999998, 19.30499999999998, 0, 9, 9, 9, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
