resp_fMRI.keys, resp_fMRI.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, k_val, date, expName, frameRate
5, 19.022999999999968, 1, 5.5989999999999895, 1, 1.7159999999999513, 2, 2.016999999999996, , , , , , , 0, -1, -1, 0, 2005, 1, 1, 3.5850000000000364, 0.01, , , 1.06995992669, 23.261000000000024, 26.846000000000004, , 19.342105263157897, 35, 1, 2, 5, 90, 0, 1, 3, 0.875261742394, 0, How to get a promotion?,  Arrive on time., 5, 18.408000000000015, 22.17700000000002, 0, 0, 0, 0, 2005, 1, 1, 3.5850000000000364, 0.01, , , 1.06995992669, 23.261000000000024, 26.846000000000004, , 19.342105263157897, 35, 1, 2, 5, 90, 0, 1, 3, 0.875261742394, 0, How to get a promotion?,  Arrive on time., 5, 18.408000000000015, 22.17700000000002, 0, 0, 0, 0, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.516999999999996, , , , , , , 0, -1, -1, 0, 2005, 2, 2, 1.9330000000000496, 0.007498942093324559, , , 0.605940013741, 32.34899999999999, 34.28200000000004, , 24.1579664637953, 39, 1, 1, 5, 90, 0, 1, 3, 0.8750295198, 0, How to attend a school?,  Enter a classroom., 5, 28.46199999999999, 31.730999999999995, 0, 1, 1, 1, 2005, 2, 2, 1.9330000000000496, 0.007498942093324559, , , 0.605940013741, 32.34899999999999, 34.28200000000004, , 24.1579664637953, 39, 1, 1, 5, 90, 0, 1, 3, 0.8750295198, 0, How to attend a school?,  Enter a classroom., 5, 28.46199999999999, 31.730999999999995, 0, 1, 1, 1, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.5010000000000332, , , , , , , 0, -1, -1, 0, 2005, 3, 2, 2.166999999999973, 0.01, , , 2.90385931932, 44.37100000000004, 46.53800000000001, , 13.263157894736842, 24, 1, 1, 5, 90, 0, 1, 3, 0.581584739341, 0, Why entertain others?,  Express a talent., 3, 38.20100000000002, 41.45300000000003, 0, 2, 2, 2, 2005, 3, 2, 2.166999999999973, 0.01, , , 2.90385931932, 44.37100000000004, 46.53800000000001, , 13.263157894736842, 24, 1, 1, 5, 90, 0, 1, 3, 0.581584739341, 0, Why entertain others?,  Express a talent., 3, 38.20100000000002, 41.45300000000003, 0, 2, 2, 2, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.1649999999999636, , , , , , , 0, -1, -1, 0, 2005, 4, 1, 3.634999999999991, 0.01333521432163324, , , 2.00125248208, 54.476, 58.11099999999999, , 11.15075543061037, 23, 1, 1, 5, 90, 0, 1, 3, 0.620802432562, 0, Why gain knowledge?,  Improve oneself., 3, 49.55599999999998, 52.47399999999999, 0, 3, 3, 3, 2005, 4, 1, 3.634999999999991, 0.01333521432163324, , , 2.00125248208, 54.476, 58.11099999999999, , 11.15075543061037, 23, 1, 1, 5, 90, 0, 1, 3, 0.620802432562, 0, Why gain knowledge?,  Improve oneself., 3, 49.55599999999998, 52.47399999999999, 0, 3, 3, 3, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2005, 5, 2, 2.201000000000022, 0.01778279410038923, , , 1.02776534511, 65.18099999999998, 67.382, , 10.88724922198085, 26, 1, 1, 5, 90, 0, 1, 3, 1.66952440983, 0, Why drink coffee?,  Consume caffeine., 1, 60.14500000000004, 64.14800000000002, 0, 4, 4, 4, 2005, 5, 2, 2.201000000000022, 0.01778279410038923, , , 1.02776534511, 65.18099999999998, 67.382, , 10.88724922198085, 26, 1, 1, 5, 90, 0, 1, 3, 1.66952440983, 0, Why drink coffee?,  Consume caffeine., 1, 60.14500000000004, 64.14800000000002, 0, 4, 4, 4, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.1340000000000146, , , , , , , 0, -1, -1, 0, 2005, 6, 1, 2.9009999999999536, 0.023713737056616554, , , 2.00039885048, 75.27000000000004, 78.17099999999999, , 9.99284030920792, 28, 1, 2, 5, 90, 0, 1, 3, 1.221046822, 1, Why open a magazine?,  Read articles., 1, 70.38400000000001, 73.269, 0, 5, 5, 5, 2005, 6, 1, 2.9009999999999536, 0.023713737056616554, , , 2.00039885048, 75.27000000000004, 78.17099999999999, , 9.99284030920792, 28, 1, 2, 5, 90, 0, 1, 3, 1.221046822, 1, Why open a magazine?,  Read articles., 1, 70.38400000000001, 73.269, 0, 5, 5, 5, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.2839999999999918, , , , , , , 0, -1, -1, 0, 2005, 7, 2, 2.151999999999987, 0.01778279410038923, , , 1.64288548449, 85.507, 87.65899999999999, , 11.305989576672422, 27, 1, 1, 5, 90, 0, 1, 3, 1.46495134477, 0, How to write a poem?,  Grab a pencil., 4, 80.82300000000004, 83.85700000000003, 0, 6, 6, 6, 2005, 7, 2, 2.151999999999987, 0.01778279410038923, , , 1.64288548449, 85.507, 87.65899999999999, , 11.305989576672422, 27, 1, 1, 5, 90, 0, 1, 3, 1.46495134477, 0, How to write a poem?,  Grab a pencil., 4, 80.82300000000004, 83.85700000000003, 0, 6, 6, 6, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.183999999999969, , , , , , , 0, -1, -1, 0, 2005, 8, 2, 2.9180000000000064, 0.023713737056616554, , , 2.22478968473, 96.06299999999999, 98.981, , 14.275486156011315, 40, 1, 2, 5, 90, 0, 1, 3, 2.97381190668, 0, How to dress formally?,  Wear ties. , 4, 90.894, 93.82900000000001, 0, 7, 7, 7, 2005, 8, 2, 2.9180000000000064, 0.023713737056616554, , , 2.22478968473, 96.06299999999999, 98.981, , 14.275486156011315, 40, 1, 2, 5, 90, 0, 1, 3, 2.97381190668, 0, How to dress formally?,  Wear ties. , 4, 90.894, 93.82900000000001, 0, 7, 7, 7, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 2, 1.315999999999974, , , , , , , 0, -1, -1, 0, 2005, 9, 1, 2.0670000000000073, 0.01778279410038923, , , 1.97332124585, 107.019, 109.08600000000001, , 12.143470286055564, 29, 1, 1, 5, 90, 0, 1, 3, 2.6443491922, 0, How to spread joy?,  Get a job., 6, 101.96600000000001, 105.03399999999999, 0, 8, 8, 8, 2005, 9, 1, 2.0670000000000073, 0.01778279410038923, , , 1.97332124585, 107.019, 109.08600000000001, , 12.143470286055564, 29, 1, 1, 5, 90, 0, 1, 3, 2.6443491922, 0, How to spread joy?,  Get a job., 6, 101.96600000000001, 105.03399999999999, 0, 8, 8, 8, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
, , , , , , 1, 1.1829999999999927, , , , , , , 0, -1, -1, 0, 2005, 10, 2, 2.334000000000003, 0.023713737056616554, , , 2.00487175701, 117.05799999999999, 119.39100000000002, , 11.06350177090877, 31, 1, 1, 5, 90, 0, 1, 3, 0.958782790791, 0, How to live a long life?,  Avoid diseases., 6, 112.10500000000002, 115.03899999999999, 0, 9, 9, 9, 2005, 10, 2, 2.334000000000003, 0.023713737056616554, , , 2.00487175701, 117.05799999999999, 119.39100000000002, , 11.06350177090877, 31, 1, 1, 5, 90, 0, 1, 3, 0.958782790791, 0, How to live a long life?,  Avoid diseases., 6, 112.10500000000002, 115.03899999999999, 0, 9, 9, 9, 2005, 1, practice, fmri_v120180213002343, 0.01, Tue Feb 13 2018 10:24:40 GMT-0800 (PST), stroop, 60
