resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, k_val, date, expName, frameRate
5, 35.986999999999966, 2, 1.365000000000009, , , , , , , 0, -1, -1, 0, 2005, 1, 1, 2.483000000000061, 0.0422, , , 1.70320083422, 53.081999999999994, 55.565000000000055, , 8.329095456440184, 33, 1, 2, 5, 90, 0, 1, 1, 4.54092827165, 0, How to satisfy a need?,  Make a purchase., 6, 48.23400000000004, 51.36500000000001, 0, 0, 0, 0, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.2320000000000846, , , , , , , 0, -1, -1, 0, 2005, 2, 1, 2.5330000000000155, 0.03164553563382964, , , 1.01574174337, 61.62900000000002, 64.16200000000003, , 8.427637041426397, 28, 1, 2, 5, 90, 0, 1, 1, 1.96546676557, 0, How to avoid mistakes?,  Obey laws., 6, 57.61400000000003, 60.61200000000008, 0, 1, 1, 1, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.0830000000000837, , , , , , , 0, -1, -1, 0, 2005, 3, 2, 2.2490000000000236, 0.023730803923032732, , , 1.05914492961, 70.14300000000003, 72.39200000000005, , 8.205009660836897, 23, 1, 2, 5, 90, 0, 1, 1, 1.01776116916, 0, How to consume alcohol?,  Drink wine., 5, 66.22800000000007, 69.07800000000009, 0, 2, 2, 2, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 2, 1.1319999999999482, , , , , , , 0, -1, -1, 0, 2005, 4, 1, 3.0979999999999563, 0.017795592444686172, , , 1.60781973689, 79.52500000000009, 82.62300000000005, , 16.324602678612298, 39, 1, 1, 5, 90, 0, 1, 1, 2.46376923375, 0, How to express doubt?,  Use scissors., 5, 75.00900000000001, 77.90800000000002, 0, 3, 3, 3, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 0.9700000000000273, , , , , , , 0, -1, -1, 0, 2005, 5, 2, 2.231999999999971, 0.023730803923032732, , , 3.78813884254, 93.95300000000009, 96.18500000000006, , 8.561749211308065, 24, 1, 2, 5, 90, 0, 1, 1, 1.09300194102, 0, How to make breakfast?,  Crack eggs., 4, 87.43799999999999, 90.15800000000002, 0, 4, 4, 4, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.2490000000000236, , , , , , , 0, -1, -1, 0, 2005, 6, 2, 2.6650000000000773, 0.017795592444686172, , , 1.30093834851, 102.81700000000001, 105.48300000000006, , 12.557386675855614, 30, 1, 1, 5, 90, 0, 1, 1, 2.18931047633, 0, How to take a picture?,  Point a camera., 4, 98.50200000000007, 101.50100000000009, 0, 5, 5, 5, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.1309999999999718, , , , , , , 0, -1, -1, 0, 2005, 7, 1, 2.4329999999999927, 0.023730803923032732, , , 1.1136072787, 111.59800000000007, 114.03100000000006, , 11.05892606460625, 31, 1, 1, 5, 90, 0, 1, 1, 1.43753129454, 0, Why clap hands?,  Give applause., 1, 107.59800000000007, 110.481, 0, 6, 6, 6, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.066000000000031, , , , , , , 0, -1, -1, 0, 2005, 8, 1, 3.0330000000000155, 0.03164553563382964, , , 1.05156175726, 119.97800000000007, 123.01100000000008, , 10.835533338976797, 36, 1, 2, 5, 90, 0, 1, 1, 1.96315174927, 0, Why use a brush?,  Paint a picture., 1, 116.08500000000004, 118.91200000000003, 0, 7, 7, 7, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 1.2989999999999782, , , , , , , 0, -1, -1, 0, 2005, 9, 2, 3.048000000000002, 0.023730803923032732, , , 1.18807329884, 129.476, 132.524, , 7.848270110365727, 22, 1, 2, 5, 90, 0, 1, 1, 1.27931447214, 0, Why show appreciation?,  Spread joy., 3, 125.22700000000009, 128.27600000000007, 0, 8, 8, 8, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
, , 1, 0.9830000000000609, , , , , , , 0, -1, -1, 0, 2005, 10, 1, 2.5319999999999254, 0.017795592444686172, , , 1.51887144725, 139.32400000000007, 141.856, , 10.464488896546344, 25, 1, 1, 5, 90, 0, 1, 1, 1.75040941273, 0, Why keep a memory?,  Feel nostalgia., 3, 135.05700000000002, 137.79000000000008, 0, 9, 9, 9, 2005, 1, 1, fmri_v120180213002343, 0.0422, Tue Feb 13 2018 10:47:36 GMT-0800 (PST), stroop, 60
