resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, finish_screen_end_response.keys, finish_screen_end_response.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 0.575999999999965, 1, 0.49900000000002365, , , , , , , 0, -1, -1, 0, 2001, 1, L, 0.8659999999999854, 0.01, 0.01333521432163324, , 3.39794914005, 17.326999999999998, 18.192000000000007, , 16.026315789473685, 29, 1, SS, 5, 90, 0, 1, 1, 1.14244799152, 45, How to open a browser?,  Click a mouse., 4, 13.924000000000035, 16.17500000000001, 0, 0, 0, 0, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 1, L, 0.8659999999999854, 0.01, 0.01333521432163324, , 3.39794914005, 17.326999999999998, 18.192000000000007, , 16.026315789473685, 29, 1, SS, 5, 90, 0, 1, 1, 1.14244799152, 45, How to open a browser?,  Click a mouse., 4, 13.924000000000035, 16.17500000000001, 0, 0, 0, 0, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , 2, 0.6150000000000091, , , , , , , 0, -1, -1, 0, 2001, 2, L, 0.8170000000000073, 0.01333521432163324, 0.01, , 1.65653309479, 25.028999999999996, 25.846000000000004, , 19.39261814019195, 40, 1, LL, 5, 90, 0, 1, 1, 1.79982058152, 51, How to watch television?,  Use a remote., 4, 20.860000000000014, 23.22800000000001, 0, 1, 1, 1, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 2, L, 0.8170000000000073, 0.01333521432163324, 0.01, , 1.65653309479, 25.028999999999996, 25.846000000000004, , 19.39261814019195, 40, 1, LL, 5, 90, 0, 1, 1, 1.79982058152, 51, How to watch television?,  Use a remote., 4, 20.860000000000014, 23.22800000000001, 0, 1, 1, 1, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , 1, 0.4989999999999668, , , , , , , 0, -1, -1, 0, 2001, 3, L, 0.8999999999999773, 0.01, 0.007498942093324559, , 2.15051055241, 32.60000000000002, 33.5, , 12.157894736842106, 22, 1, LL, 5, 90, 0, 1, 1, 1.34642882916, 37, How to achieve success?,  Get a promotion., 6, 28.99799999999999, 31.24799999999999, 0, 2, 2, 2, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 3, L, 0.8999999999999773, 0.01, 0.007498942093324559, , 2.15051055241, 32.60000000000002, 33.5, , 12.157894736842106, 22, 1, LL, 5, 90, 0, 1, 1, 1.34642882916, 37, How to achieve success?,  Get a promotion., 6, 28.99799999999999, 31.24799999999999, 0, 2, 2, 2, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 4, L, 6.001999999999953, 0.007498942093324559, 0.007498942093324559, , 1.74381426698, 42.388000000000034, 48.39100000000002, , 14.247005863263896, 23, 1, , 5, 90, 0, 1, 1, 1.98861781724, 22, How to show humility?,  Build muscles., 6, 36.252999999999986, 40.398000000000025, 0, 3, 3, 3, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 4, L, 6.001999999999953, 0.007498942093324559, 0.007498942093324559, , 1.74381426698, 42.388000000000034, 48.39100000000002, , 14.247005863263896, 23, 1, , 5, 90, 0, 1, 1, 1.98861781724, 22, How to show humility?,  Build muscles., 6, 36.252999999999986, 40.398000000000025, 0, 3, 3, 3, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , 1, 0.2489999999999668, , , , , , , 0, -1, -1, 0, 2001, 5, R, 0.5499999999999545, 0.007498942093324559, 0.01, , 1.68388032448, 53.22700000000003, 53.77699999999999, , 24.1579664637953, 39, 1, SS, 5, 90, 0, 1, 1, 1.12094186668, 54, How to show appreciation?,  Give applause., 5, 50.091999999999985, 52.091999999999985, 0, 4, 4, 4, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 5, R, 0.5499999999999545, 0.007498942093324559, 0.01, , 1.68388032448, 53.22700000000003, 53.77699999999999, , 24.1579664637953, 39, 1, SS, 5, 90, 0, 1, 1, 1.12094186668, 54, How to show appreciation?,  Give applause., 5, 50.091999999999985, 52.091999999999985, 0, 4, 4, 4, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , 1, 0.2999999999999545, , , , , , , 0, -1, -1, 0, 2001, 6, R, 0.44899999999995543, 0.01, 0.01333521432163324, , 1.13845972029, 59.547000000000025, 59.997000000000014, , 11.05263157894737, 20, 1, SS, 5, 90, 0, 1, 1, 1.55695628455, 30, How to make a donation?,  Mix a cocktail., 5, 55.928, 57.978999999999985, 0, 5, 5, 5, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 6, R, 0.44899999999995543, 0.01, 0.01333521432163324, , 1.13845972029, 59.547000000000025, 59.997000000000014, , 11.05263157894737, 20, 1, SS, 5, 90, 0, 1, 1, 1.55695628455, 30, How to make a donation?,  Mix a cocktail., 5, 55.928, 57.978999999999985, 0, 5, 5, 5, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , 1, 0.5339999999999918, , , , , , , 0, -1, -1, 0, 2001, 7, L, 0.35000000000002274, 0.01333521432163324, 0.01778279410038923, , 1.98122503496, 66.81700000000001, 67.16700000000003, , 12.120386337619967, 25, 1, SS, 5, 90, 0, 1, 1, 1.54382547046, 36, Why make breakfast?,  Satisfy hunger., 2, 62.98200000000003, 65.26800000000003, 0, 6, 6, 6, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 7, L, 0.35000000000002274, 0.01333521432163324, 0.01778279410038923, , 1.98122503496, 66.81700000000001, 67.16700000000003, , 12.120386337619967, 25, 1, SS, 5, 90, 0, 1, 1, 1.54382547046, 36, Why make breakfast?,  Satisfy hunger., 2, 62.98200000000003, 65.26800000000003, 0, 6, 6, 6, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 8, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 1.72585562144, 75.95499999999998, 81.959, , 14.655912414204993, 35, 1, , 5, 90, 0, 1, 1, 2.04620678791, 34, Why give applause?,  Show appreciation., 2, 69.90199999999999, 73.90800000000002, 0, 7, 7, 7, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 8, R, 6.004000000000019, 0.01778279410038923, 0.01778279410038923, , 1.72585562144, 75.95499999999998, 81.959, , 14.655912414204993, 35, 1, , 5, 90, 0, 1, 1, 2.04620678791, 34, Why give applause?,  Show appreciation., 2, 69.90199999999999, 73.90800000000002, 0, 7, 7, 7, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 9, L, 6.002999999999986, 0.01778279410038923, 0.01778279410038923, , 1.24089778804, 88.81200000000001, 94.815, , 15.493393123588133, 37, 1, , 5, 90, 0, 1, 1, 1.59072359882, 16, Why make art?,  Show creativity., 3, 83.21000000000004, 87.21100000000001, 0, 8, 8, 8, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 9, L, 6.002999999999986, 0.01778279410038923, 0.01778279410038923, , 1.24089778804, 88.81200000000001, 94.815, , 15.493393123588133, 37, 1, , 5, 90, 0, 1, 1, 1.59072359882, 16, Why make art?,  Show creativity., 3, 83.21000000000004, 87.21100000000001, 0, 8, 8, 8, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 10, R, 6.003000000000043, 0.01778279410038923, 0.01778279410038923, , 1.56629848172, 101.68299999999999, 107.68600000000004, , 15.912133478279705, 38, 1, , 5, 90, 0, 1, 1, 1.29801671532, 19, Why hold a party?,  Feel sociable., 3, 96.382, 100.38299999999998, 0, 9, 9, 9, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60, , , , , , , 0, -1, -1, 0, 2001, 10, R, 6.003000000000043, 0.01778279410038923, 0.01778279410038923, , 1.56629848172, 101.68299999999999, 107.68600000000004, , 15.912133478279705, 38, 1, , 5, 90, 0, 1, 1, 1.29801671532, 19, Why hold a party?,  Feel sociable., 3, 96.382, 100.38299999999998, 0, 9, 9, 9, 2001, 1, 1, 0.01, fmri_v320180222085601, 400, Wed Mar 21 2018 09:14:27 GMT-0700 (PDT), stroop, 60
