Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2037,1,L,,,,,2.47592737428,,,,25,30,1,,9,,1,1,4,0.891618309078,2,Why show courtesy?, Make a friend.,3
2037,2,R,,,,,2.85819114487,,,,25,30,1,,1,,1,1,4,1.46856022741,0,Why reduce pain?, Feel well.,3
2037,3,L,,,,,0.744333815052,,,,25,30,1,,6,,1,1,4,1.20666998131,5,How to show an ability?, Satisfy hunger.,6
2037,4,L,,,,,0.87472913719,,,,25,30,1,,5,,1,1,4,1.07339081641,9,How to show creativity?, Make art.,6
2037,5,R,,,,,3.00111067645,,,,25,30,1,,2,,1,1,4,0.996723399849,8,How to give a lecture?, Brush ones hair.,4
2037,6,L,,,,,1.91294214623,,,,25,30,1,,4,,1,1,4,0.792057804966,6,How to make a phone call?, Dial numbers.,4
2037,7,R,,,,,2.00689212467,,,,25,30,1,,7,,1,1,4,1.01539209821,10,How to show ambition?, Serve alcohol.,5
2037,8,R,,,,,1.29082233799,,,,25,30,1,,3,,1,1,4,0.503747016066,1,How to make art?, Paint a picture.,5
2037,9,R,,,,,0.865946468458,,,,25,30,1,,4,,1,1,4,0.962317190714,11,Why wash ones hands?, Kill germs.,1
2037,10,L,,,,,1.30927938002,,,,25,30,1,,8,,1,1,4,1.80303239703,3,Why click a mouse?, Open a browser.,1
2037,11,R,,,,,3.14455529544,,,,25,30,1,,7,,1,1,4,0.84364397785,7,Why watch television?, Show competence.,2
2037,12,L,,,,,3.30550801793,,,,25,30,1,,3,,1,1,4,0.619132395287,4,Why paint a picture?, Make art.,2
