resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrial, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 0.9980000000000047, 1, 0.36700000000000443, , , , , , , 0, -1, -1, 0, 2000, 1, 2, 0.4000000000000057, 0.01, 0.01333521432163324, , 1.41879135969, 16.52000000000001, 16.92, , 25, 30, 1, 1, 5, 26, 1, 1, 1, 2.09416996548, 1, How to lift weights?,  Fasten seatbelt., 4, 12.951000000000008, 15.085000000000008, 0, 0, 0, 0, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , 1, 0.2680000000000007, , , , , , , 0, -1, -1, 0, 2000, 2, 2, 1.0989999999999895, 0.01333521432163324, 0.01778279410038923, , 1.79120011473, 19.955000000000013, 21.054000000000002, , 25, 30, 1, 1, 1, 16.197884186649116, 1, 1, 1, 1.40986702173, 0, How to go shopping?,  Use credit cards., 4, 17.921000000000006, 19.955000000000013, 0, 1, 1, 1, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , 1, 0.36299999999999955, , , , , , , 0, -1, -1, 0, 2000, 3, 1, 0.6030000000000086, 0.01778279410038923, 0.013335214321633242, , 1.64839356165, 24.17, 24.77300000000001, , 25, 30, 1, 2, 4, 16.046826503806976, 1, 1, 1, 1.04305174611, 0, Why entertain others?,  Express a talent., 3, 22.055000000000007, 24.16900000000001, 0, 2, 2, 2, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , 1, 0.11599999999999966, , , , , , , 0, -1, -1, 0, 2000, 4, 2, 0.4650000000000034, 0.013335214321633242, 0.01778279410038923, , 1.51075557637, 27.64200000000001, 28.107000000000014, , 25, 30, 1, 1, 7, 23.397884186649115, 1, 1, 1, 1.1490935249, 0, Why avoid diseases?,  Live a long life., 3, 25.77300000000001, 27.641000000000005, 0, 3, 3, 3, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , 2, 0.05099999999998772, , , , , , , 0, -1, -1, 0, 2000, 5, 2, 0.632000000000005, 0.01778279410038923, 0.023713737056616554, , 1.04320551159, 30.911, 31.543000000000006, , 25, 30, 1, 1, 3, 14.846826503806989, 1, 1, 1, 2.34856495387, 0, Why enter a classroom?,  Attend a school., 2, 29.10900000000001, 30.911, 0, 4, 4, 4, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 6, 1, 6.001999999999995, 0.023713737056616554, 0.023713737056616554, , 1.71661043678, 36.54700000000001, 42.54900000000001, , 25, 30, 1, , 6, 15.633930068571637, 1, 1, 1, 3.72840827648, 0, Why take a picture?,  Keep a memory., 2, 32.54400000000001, 36.54600000000001, 0, 5, 5, 5, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 7, 1, 6.001999999999995, 0.023713737056616554, 0.023713737056616554, , 1.05525315574, 46.55200000000001, 52.55500000000001, , 25, 30, 1, , 9, 19.233930068571638, 1, 1, 1, 2.50390398978, 0, How to attend a school?,  Enter a classroom., 5, 42.54900000000001, 46.551, 0, 6, 6, 6, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 8, 1, 6.002999999999986, 0.023713737056616554, 0.023713737056616554, , 1.37449835198, 56.55600000000001, 62.559, , 25, 30, 1, , 8, 18.03393006857165, 1, 1, 1, 1.95371675299, 0, How to teach others?,  Give a lecture., 5, 52.55600000000001, 56.55600000000001, 0, 7, 7, 7, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 9, 2, 6.0020000000000095, 0.023713737056616554, 0.023713737056616554, , 1.1089792259, 66.561, 72.56300000000002, , 25, 30, 1, , 2, 10.833930068571638, 1, 1, 1, 1.12189659073, 0, How to achieve success?,  Get a promotion., 6, 62.559, 66.56, 0, 8, 8, 8, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 10, 1, 6.0020000000000095, 0.023713737056616554, 0.023713737056616554, , 1.04729976483, 76.566, 82.56800000000001, , 25, 30, 1, , 8, 18.03393006857165, 1, 1, 1, 1.57950643405, 0, How to feel nostalgia?,  Keep a memory., 6, 72.564, 76.566, 0, 9, 9, 9, 2000, 1, 1, 0.01, fmri_v120180213002343, 40, Fri Feb 16 2018 17:08:46 GMT-0800 (PST), stroop, 60
