Name,a,b,a,b,a,b,a,b
 blocks.thisIndex,0,0,0,0,0,0,0,0
 blocks.thisN,-1,-1,-1,-1,-1,-1,-1,-1
 blocks.thisRepN,0,0,0,0,0,0,0,0
 blocks.thisTrialN,-1,-1,-1,-1,-1,-1,-1,-1
 Choice, , , , , , , , 
 Choice, , , , , , , , 
 choiceMade,18.449,27.861,33.9,38.872,49.701,59.729,70.308,84.39
 choiceMade,18.449,27.861,33.9,38.872,49.701,59.729,70.308,84.39
 choiceUp,16.697,26.241,32.432,37.204,47.866,57.961,68.706,80.653
 choiceUp,16.697,26.241,32.432,37.204,47.866,57.961,68.706,80.653
 Condition,1,1,1,1,1,1,1,1
 Condition,1,1,1,1,1,1,1,1
 Construal_AnswerText,  Consume alcohol.,  Use scissors.,  Show humility.,  Prepare meals.,  Teach others.,  Obey laws.,  Arrive on time.,  Watch television.
 Construal_AnswerText,  Consume alcohol.,  Use scissors.,  Show humility.,  Prepare meals.,  Teach others.,  Obey laws.,  Arrive on time.,  Watch television.
 Construal_Condition,2,5,3,1,2,6,5,1
 Construal_Condition,2,5,3,1,2,6,5,1
 Construal_QuestionText, Why drink wine?, How to express doubt?, Why build muscles?, Why follow recipes?, Why give a lecture?, How to avoid mistakes?, How to get a promotion?, Why use a remote?
 Construal_QuestionText, Why drink wine?, How to express doubt?, Why build muscles?, Why follow recipes?, Why give a lecture?, How to avoid mistakes?, How to get a promotion?, Why use a remote?
 construal_resp.keys,1,1,2,2,1,1,2,1
 construal_resp.rt,0.667,0.832,0.449,0.483,0.4,0.5,0.517,1.084
 construal_trialComplete,15.896,23.638,31.247,36.669,46.297,54.957,65.352,76.899
 construal_trialComplete,15.896,23.638,31.247,36.669,46.297,54.957,65.352,76.899
 construal_trialUp,13.478,21.053,29.045,34.434,44.145,52.706,63.083,74.062
 construal_trialUp,13.478,21.053,29.045,34.434,44.145,52.706,63.083,74.062
 date, Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST), Tue Feb 06 2018 17:01:18 GMT-0800 (PST)
 day,2,2,2,2,2,2,2,2
 day,2,2,2,2,2,2,2,2
 designDir, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922, fmri_v120180206161922
 endingK,0.007498942,0.01,0.007498942,0.005623413,0.007498942,0.01,0.013335214,0.017782794
 endingK,0.007498942,0.01,0.007498942,0.005623413,0.007498942,0.01,0.013335214,0.017782794
 expName, stroop, stroop, stroop, stroop, stroop, stroop, stroop, stroop
 frameRate,60,60,60,60,60,60,60,60
 instructionLoop.thisIndex, , , , , , , , 
 instructionLoop.thisN, , , , , , , , 
 instructionLoop.thisRepN, , , , , , , , 
 instructionLoop.thisTrialN, , , , , , , , 
 ITI,0.788125894,2.587551241,1.17688063,0.522505668,1.568031198,2.996106951,3.344256266,3.750496038
 ITI,0.788125894,2.587551241,1.17688063,0.522505668,1.568031198,2.996106951,3.344256266,3.750496038
 k_val,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 LLamount,31,30,28,39,30,30,30,30
 LLamount,31,30,28,39,30,30,30,30
 LLdelay,90,90,90,90,46.3655882,31.47042864,29.6,23.39788419
 LLdelay,90,90,90,90,46.3655882,31.47042864,29.6,23.39788419
 participant,2001,2001,2001,2001,2001,2001,2001,2001
 resp_fMRI.rt,13.028, , , , , , , 
 resp_trial.keys, , , , , , , , 
 resp_trial.rt, , , , , , , , 
 respBlockInstructions.keys,1, , , ,1, , , 
 respBlockInstructions.rt,2.383, , , ,3.685, , , 
