resp_fMRI.keys, resp_fMRI.rt, respMetaInstructions.keys, respMetaInstructions.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, respBlockInstructions.keys, respBlockInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, date, expName, frameRate
5, 1.2279999999999998, 1, 0.3960000000000008, 1, 0.31400000000000006, 1, 0.4499999999999993, 1, 0.8109999999999999, 1, 0.39699999999999847, , , 0, -1, -1, 0, 1, 69, 2, 1.4510000000000005, 0.01, 0.01333521432163324, , 1.5, 7.1419999999999995, 8.591999999999999, , 21, 38, 1, , 5, 90, 0, 1, 1, 0.615030684498, 0, How to buy food?,  Go to the supermarket., 44, 4, 3.487, 5.639999999999999, 0, 0, 0, 0, 1, 69, 2, 1.4510000000000005, 0.01, 0.01333521432163324, , 1.5, 7.1419999999999995, 8.591999999999999, , 21, 38, 1, , 5, 90, 0, 1, 1, 0.615030684498, 0, How to buy food?,  Go to the supermarket., 44, 4, 3.487, 5.639999999999999, 0, 0, 0, 0, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 1, 0.365000000000002, , , 0, -1, -1, 0, 1, 72, 2, 1.5360000000000014, 0.01333521432163324, 0.01778279410038923, , 1.0, 12.713999999999999, 14.25, , 12.120386337619967, 25, 1, , 5, 90, 0, 1, 1, 0.648818215151, 0, Why buy food?,  To eat., 110, 1, 9.594000000000001, 11.712, 0, 1, 1, 1, 1, 72, 2, 1.5360000000000014, 0.01333521432163324, 0.01778279410038923, , 1.0, 12.713999999999999, 14.25, , 12.120386337619967, 25, 1, , 5, 90, 0, 1, 1, 0.648818215151, 0, Why buy food?,  To eat., 110, 1, 9.594000000000001, 11.712, 0, 1, 1, 1, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , 1, 11.68, 1, 1.118000000000002, , , 0, -1, -1, 0, 2002, 1, 1, 5.3060000000000045, 0.01778279410038923, 0.023713737056616554, , 2.12965078422, 33.06999999999999, 38.376000000000005, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 1.10428846474, 1, Why make a purchase?,  Satisfy a need., 105, 3, 28.065, 30.935, 0, 0, 0, 0, 2002, 1, 1, 5.3060000000000045, 0.01778279410038923, 0.023713737056616554, , 2.12965078422, 33.06999999999999, 38.376000000000005, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 1.10428846474, 1, Why make a purchase?,  Satisfy a need., 105, 3, 28.065, 30.935, 0, 0, 0, 0, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 1, 1.426000000000002, , , 0, -1, -1, 0, 2002, 2, 1, 2.219000000000001, 0.023713737056616554, 0.01778279410038923, , 1.52223857188, 44.617000000000004, 46.836, , 25, 30, 1, , 7, 16.833930068571654, 1, 1, 1, 0.700629130414, 2, How to reduce pain?,  Consume medicine., 50, 5, 39.911, 43.089, 0, 1, 1, 1, 2002, 2, 1, 2.219000000000001, 0.023713737056616554, 0.01778279410038923, , 1.52223857188, 44.617000000000004, 46.836, , 25, 30, 1, , 7, 16.833930068571654, 1, 1, 1, 0.700629130414, 2, How to reduce pain?,  Consume medicine., 50, 5, 39.911, 43.089, 0, 1, 1, 1, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 1, 0.5180000000000007, , , 0, -1, -1, 0, 2002, 3, 2, 6.0090000000000074, 0.01778279410038923, 0.01778279410038923, , 1.99792163894, 53.108999999999995, 59.11800000000001, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 0.745674720328, 3, Why paint a picture?,  Make art., 111, 2, 48.837999999999994, 51.108999999999995, 0, 2, 2, 2, 2002, 3, 2, 6.0090000000000074, 0.01778279410038923, 0.01778279410038923, , 1.99792163894, 53.108999999999995, 59.11800000000001, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 0.745674720328, 3, Why paint a picture?,  Make art., 111, 2, 48.837999999999994, 51.108999999999995, 0, 2, 2, 2, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 4, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.28798049481, 65.724, 71.73100000000001, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 1.90666833561, 4, Why write a poem?,  Express an idea., 142, 2, 60.419, 64.423, 0, 3, 3, 3, 2002, 4, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.28798049481, 65.724, 71.73100000000001, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 1.90666833561, 4, Why write a poem?,  Express an idea., 142, 2, 60.419, 64.423, 0, 3, 3, 3, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 5, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.690871622482, 77.137, 83.144, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 0.535299703612, 5, How to improve oneself?,  Gain knowledge., 32, 6, 72.432, 76.436, 0, 4, 4, 4, 2002, 5, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.690871622482, 77.137, 83.144, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 0.535299703612, 5, How to improve oneself?,  Gain knowledge., 32, 6, 72.432, 76.436, 0, 4, 4, 4, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 6, 1, 6.006999999999991, 0.01778279410038923, 0.01778279410038923, , 0.700261727819, 88.56700000000001, 94.574, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 0.833967007374, 6, How to avoid mistakes?,  Obey laws., 5, 6, 83.861, 87.866, 0, 5, 5, 5, 2002, 6, 1, 6.006999999999991, 0.01778279410038923, 0.01778279410038923, , 0.700261727819, 88.56700000000001, 94.574, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 0.833967007374, 6, How to avoid mistakes?,  Obey laws., 5, 6, 83.861, 87.866, 0, 5, 5, 5, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 7, 2, 6.006, 0.01778279410038923, 0.01778279410038923, , 4.28667505038, 107.155, 113.161, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.634368839027, 7, Why click a mouse?,  Open a browser., 77, 1, 98.86200000000001, 102.866, 0, 6, 6, 6, 2002, 7, 2, 6.006, 0.01778279410038923, 0.01778279410038923, , 4.28667505038, 107.155, 113.161, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.634368839027, 7, Why click a mouse?,  Open a browser., 77, 1, 98.86200000000001, 102.866, 0, 6, 6, 6, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 8, 1, 6.006, 0.01778279410038923, 0.01778279410038923, , 2.92509236891, 123.039, 129.045, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 0.888669255344, 8, How to entertain others?,  Write a song., 15, 5, 116.098, 120.10199999999999, 0, 7, 7, 7, 2002, 8, 1, 6.006, 0.01778279410038923, 0.01778279410038923, , 2.92509236891, 123.039, 129.045, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 0.888669255344, 8, How to entertain others?,  Write a song., 15, 5, 116.098, 120.10199999999999, 0, 7, 7, 7, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
