resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate, finish_screen_end_response.keys, finish_screen_end_response.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
5, 1.579999999999984, 1, 0.49800000000001887, , , , , , , 0, -1, -1, 0, 2000, 1, R, 0.5279999999999916, 0.01, 0.01333521432163324, , 1.1039073215, 15.013000000000005, 15.540999999999997, , 25, 30, 1, SS, 5, 26, 1, 1, 1, 1.34502269476, 3, How to entertain oneself?,  Watch television., 5, 11.643, 13.89500000000001, 0, 0, 0, 0, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 1, R, 0.5279999999999916, 0.01, 0.01333521432163324, , 1.1039073215, 15.013000000000005, 15.540999999999997, , 25, 30, 1, SS, 5, 26, 1, 1, 1, 1.34502269476, 3, How to entertain oneself?,  Watch television., 5, 11.643, 13.89500000000001, 0, 0, 0, 0, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , 1, 0.45000000000001705, , , , , , , 0, -1, -1, 0, 2000, 2, L, 0.4849999999999852, 0.01333521432163324, 0.01, , 1.07871365773, 20.926000000000016, 21.409999999999997, , 25, 30, 1, LL, 1, 16.197884186649116, 1, 1, 1, 2.38327980452, 28, How to provide food?,  Prepare meals., 5, 17.640000000000015, 19.842000000000013, 0, 1, 1, 1, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 2, L, 0.4849999999999852, 0.01333521432163324, 0.01, , 1.07871365773, 20.926000000000016, 21.409999999999997, , 25, 30, 1, LL, 1, 16.197884186649116, 1, 1, 1, 2.38327980452, 28, How to provide food?,  Prepare meals., 5, 17.640000000000015, 19.842000000000013, 0, 1, 1, 1, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , 1, 0.3830000000000098, , , , , , , 0, -1, -1, 0, 2000, 3, L, 1.9379999999999882, 0.01, 0.01333521432163324, , 1.95895897411, 28.491000000000014, 30.429000000000002, , 25, 30, 1, SS, 4, 24.8, 1, 1, 1, 1.88003985742, 2, How to give applause?,  Clap hands., 4, 24.37899999999999, 26.521000000000015, 0, 2, 2, 2, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 3, L, 1.9379999999999882, 0.01, 0.01333521432163324, , 1.95895897411, 28.491000000000014, 30.429000000000002, , 25, 30, 1, SS, 4, 24.8, 1, 1, 1, 1.88003985742, 2, How to give applause?,  Clap hands., 4, 24.37899999999999, 26.521000000000015, 0, 2, 2, 2, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 4, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.21451099245, 31.449000000000012, 31.449000000000012, , 25, 30, 1, , 7, 23.39788418664912, 1, 1, 1, 1.8811858104, 53, How to kill germs?,  Wash ones hands., 4, 31.444999999999993, 31.448000000000008, 0, 3, 3, 3, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 4, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.21451099245, 31.449000000000012, 31.449000000000012, , 25, 30, 1, , 7, 23.39788418664912, 1, 1, 1, 1.8811858104, 53, How to kill germs?,  Wash ones hands., 4, 31.444999999999993, 31.448000000000008, 0, 3, 3, 3, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 5, L, 0, 0.01333521432163324, 0.01333521432163324, , 1.24559281856, 31.451999999999998, 31.454000000000008, , 25, 30, 1, , 3, 18.59788418664912, 1, 1, 1, 1.03997512188, 32, How to feel secure?,  Save money., 6, 31.450999999999993, 31.450999999999993, 0, 4, 4, 4, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 5, L, 0, 0.01333521432163324, 0.01333521432163324, , 1.24559281856, 31.451999999999998, 31.454000000000008, , 25, 30, 1, , 3, 18.59788418664912, 1, 1, 1, 1.03997512188, 32, How to feel secure?,  Save money., 6, 31.450999999999993, 31.450999999999993, 0, 4, 4, 4, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 6, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.88357426458, 31.458, 31.459000000000003, , 25, 30, 1, , 6, 22.197884186649116, 1, 1, 1, 5.46168450577, 20, How to show cleanliness?,  Write an email., 6, 31.455000000000013, 31.456000000000017, 0, 5, 5, 5, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 6, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.88357426458, 31.458, 31.459000000000003, , 25, 30, 1, , 6, 22.197884186649116, 1, 1, 1, 5.46168450577, 20, How to show cleanliness?,  Write an email., 6, 31.455000000000013, 31.456000000000017, 0, 5, 5, 5, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 7, R, 0, 0.01333521432163324, 0.01333521432163324, , 1.70888830416, 31.462000000000018, 31.464, , 25, 30, 1, , 9, 25.79788418664911, 1, 1, 1, 1.21639389138, 19, Why write an email?,  Send a message., 3, 31.460000000000008, 31.461000000000013, 0, 6, 6, 6, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 7, R, 0, 0.01333521432163324, 0.01333521432163324, , 1.70888830416, 31.462000000000018, 31.464, , 25, 30, 1, , 9, 25.79788418664911, 1, 1, 1, 1.21639389138, 19, Why write an email?,  Send a message., 3, 31.460000000000008, 31.461000000000013, 0, 6, 6, 6, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 8, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.10363239445, 31.467000000000013, 31.468000000000018, , 25, 30, 1, , 8, 24.597884186649107, 1, 1, 1, 1.29616920219, 52, Why attend a school?,  Get a degree., 3, 31.465000000000003, 31.465000000000003, 0, 7, 7, 7, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 8, L, 0, 0.01333521432163324, 0.01333521432163324, , 2.10363239445, 31.467000000000013, 31.468000000000018, , 25, 30, 1, , 8, 24.597884186649107, 1, 1, 1, 1.29616920219, 52, Why attend a school?,  Get a degree., 3, 31.465000000000003, 31.465000000000003, 0, 7, 7, 7, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 9, R, 0, 0.01333521432163324, 0.01333521432163324, , 1.48126731675, 31.47, 31.471000000000004, , 25, 30, 1, , 2, 17.397884186649105, 1, 1, 1, 1.73128069861, 27, Why throw away trash?,  Make a list., 1, 31.468999999999994, 31.468999999999994, 0, 8, 8, 8, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 9, R, 0, 0.01333521432163324, 0.01333521432163324, , 1.48126731675, 31.47, 31.471000000000004, , 25, 30, 1, , 2, 17.397884186649105, 1, 1, 1, 1.73128069861, 27, Why throw away trash?,  Make a list., 1, 31.468999999999994, 31.468999999999994, 0, 8, 8, 8, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2000, 10, L, 0, 0.01333521432163324, 0.01333521432163324, , 1.33590290044, 31.473000000000013, 31.477000000000004, , 25, 30, 1, , 8, 24.597884186649107, 1, 1, 1, 2.38766705377, 46, Why sign ones name?,  Write a check., 1, 31.47200000000001, 31.47200000000001, 0, 9, 9, 9, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60, , , , , , , 0, -1, -1, 0, 2000, 10, L, 0, 0.01333521432163324, 0.01333521432163324, , 1.33590290044, 31.473000000000013, 31.477000000000004, , 25, 30, 1, , 8, 24.597884186649107, 1, 1, 1, 2.38766705377, 46, Why sign ones name?,  Write a check., 1, 31.47200000000001, 31.47200000000001, 0, 9, 9, 9, 2000, 1, 1, 0.01, fmri_v320180222085601, 40, Thu Feb 22 2018 13:49:35 GMT-0800 (PST), stroop, 60
