Subject,Trial,SSonLorR,RT,startingK,endingK,TrialStart,ITI,choiceUp,choiceMade,TrialOver,SSamount,LLamount,Condition,Choice,SSdelay,LLdelay,salienceCondition,day,runid,TaskInterval,RewardTrialRanked,Construal_QuestionText,Construal_AnswerText,Construal_Condition
2183,1,L,,,,,2.41372988522,,,,,31,1,,5,90,0,2,1,1.41815179632,21,Why satisfy hunger?, Show an ability.,3
2183,2,L,,,,,2.95799558625,,,,,35,1,,5,90,0,2,1,1.69895007171,26,Why show courtesy?, Make a friend.,3
2183,3,R,,,,,2.04841738157,,,,,21,1,,5,90,0,2,1,1.17737252355,52,Why click a mouse?, Open a browser.,1
2183,4,L,,,,,1.94852839898,,,,,38,1,,5,90,0,2,1,1.19157434203,46,Why raise a hand?, Participate in class.,1
2183,5,R,,,,,1.27455068642,,,,,29,1,,5,90,0,2,1,1.34669813515,20,How to show appreciation?, Give applause.,5
2183,6,R,,,,,2.73114336586,,,,,33,1,,5,90,0,2,1,2.46506633586,30,How to show ambition?, Serve alcohol.,5
2183,7,R,,,,,1.40379323031,,,,,22,1,,5,90,0,2,1,2.5394803886,9,How to avoid mistakes?, Obey laws.,6
2183,8,L,,,,,1.58302974759,,,,,24,1,,5,90,0,2,1,3.16740784399,27,How to live a long life?, Avoid diseases.,6
2183,9,R,,,,,1.16152262415,,,,,32,1,,5,90,0,2,1,1.94546767725,44,Why consume medicine?, Reduce pain.,2
2183,10,R,,,,,2.82446012689,,,,,40,1,,5,90,0,2,1,2.61045377026,47,Why consume caffeine?, Stay alert.,2
2183,11,R,,,,,4.90037153558,,,,,39,1,,5,90,0,2,1,1.94329892167,38,How to consume caffeine?, Press buttons.,4
2183,12,L,,,,,2.05428431783,,,,,37,1,,5,90,0,2,1,1.19660076372,18,How to participate in class?, Raise a hand.,4
2183,13,L,,,,,1.25800393234,,,,,36,1,,5,90,0,2,1,1.08803914515,54,Why wash ones hands?, Kill germs.,1
2183,14,L,,,,,1.05720401166,,,,,25,1,,5,90,0,2,1,1.30389323256,7,Why drink coffee?, Consume caffeine.,1
2183,15,L,,,,,2.30308139366,,,,,27,1,,5,90,0,2,1,3.88953370604,14,How to dress formally?, Wear ties. ,4
2183,16,R,,,,,1.27059929868,,,,,20,1,,5,90,0,2,1,1.03196342435,51,How to mix a cocktail?, Stir ingredients.,4
2183,17,R,,,,,2.27695866617,,,,,28,1,,5,90,0,2,1,3.59616609943,12,Why drink wine?, Consume alcohol.,2
2183,18,R,,,,,3.07813100485,,,,,34,1,,5,90,0,2,1,4.3390090463,8,Why make a phone call?, Contact a friend.,2
2183,19,L,,,,,1.0969203741,,,,,26,1,,5,90,0,2,1,2.11515374322,37,How to achieve success?, Get a promotion.,6
2183,20,R,,,,,1.44710395276,,,,,23,1,,5,90,0,2,1,1.07623238742,3,How to show cleanliness?, Write an email.,6
2183,21,L,,,,,1.02261311781,,,,,38,1,,5,90,0,2,1,1.62038935611,36,Why entertain others?, Express a talent.,3
2183,22,L,,,,,1.37204059225,,,,,29,1,,5,90,0,2,1,2.40659195571,39,Why write an email?, Send a message.,3
2183,23,R,,,,,2.29842415872,,,,,32,1,,5,90,0,2,1,1.154886813,33,How to satisfy hunger?, Make breakfast.,5
2183,24,L,,,,,1.65600811548,,,,,34,1,,5,90,0,2,1,2.31377733665,50,How to gain knowledge?, Read articles.,5
2183,25,L,,,,,3.72751689789,,,,,26,1,,5,90,0,2,1,1.94132382559,43,How to feel productive?, Finish a job.,6
2183,26,R,,,,,1.70346770288,,,,,20,1,,5,90,0,2,1,1.48819246543,53,How to spread joy?, Get a job.,6
2183,27,R,,,,,1.47801531851,,,,,35,1,,5,90,0,2,1,1.64650735618,13,Why plan ahead?, Reduce worry.,3
2183,28,L,,,,,1.8445048416,,,,,25,1,,5,90,0,2,1,2.60227113065,22,Why show appreciation?, Spread joy.,3
2183,29,R,,,,,1.44439416936,,,,,36,1,,5,90,0,2,1,1.0565300198,11,Why throw away trash?, Make a list.,1
2183,30,L,,,,,2.38104315734,,,,,22,1,,5,90,0,2,1,3.5651103832,45,Why wear ties?, Dress formally.,1
2183,31,L,,,,,1.3739828867,,,,,30,1,,5,90,0,2,1,1.63381478598,16,How to read articles?, Open a magazine.,4
2183,32,R,,,,,3.18114071419,,,,,21,1,,5,90,0,2,1,1.42351044026,56,How to watch television?, Use a remote.,4
