,q_and_a,cue_text,answer_raw_text,StimulusId,Action,Condition,Answer,Percent,Q_Nchar,Q_Nword,Q_Nsyll,Q_Freq,Q_Body,Q_Spec,Q_Conc,Q_Imag,A_Nchar,A_Nword,A_Nsyll,A_Freq,A_Body,A_Spec,A_Conc,A_Imag
0,How to achieve success? Get a promotion.,achieve success,get a promotion,0,27,6,1,100,13,3,5,4.1,3.095238095,1.972222222,2.2,2.855263158,11,2,4,3.9,2.831325301,4.081081081,3.850574713,3.539473684
1,How to attend a school? Enter a classroom.,attend a school,enter a classroom,1,11,5,1,100,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622
2,How to avoid boredom? Entertain oneself.,avoid boredom,entertain oneself,2,28,6,1,100,12,2,4,2.6,2.642857143,1.777777778,2.139534884,2.421052632,16,2,5,2.3,3.035714286,1.5,2.931034483,3.565789474
3,How to avoid diseases? Kill germs.,avoid diseases,kill germs,3,10,5,1,100,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947
4,How to avoid mistakes? Obey laws.,avoid mistakes,obey laws,4,20,6,1,97,13,2,4,3.1,2.75,2.527777778,2.430232558,2.082191781,8,2,3,2.8,2.880952381,3.513513514,3.471264368,3.368421053
5,How to build muscles? Lift weights.,build muscles,lift weights,5,5,5,1,97,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667
6,How to clip coupons? Cut paper.,clip coupons,cut paper,6,18,4,1,97,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737,8,2,3,3.9,5.795180723,6.516129032,6.78313253,6.797297297
7,How to consume alcohol? Drink wine.,consume alcohol,drink wine,7,16,5,1,97,14,2,5,2.5,5.337349398,5.459459459,6.571428571,6.333333333,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667
8,How to consume caffeine? Press buttons.,consume caffeine,press buttons,8,13,4,2,91,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444,12,2,3,2.8,5.928571429,5.135135135,6.569767442,6.581081081
9,How to consume medicine? Take pills. ,consume medicine,take pills,9,17,4,1,100,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732,9,2,2,4,5.642857143,5.243243243,6.535714286,6.626666667
10,How to contact a friend? Make a phone call.,contact a friend,make a phone call,10,3,5,1,100,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857
11,How to dress formally? Wear ties. ,dress formally,wear ties,11,27,4,1,100,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667,8,2,2,3.1,5.746987952,5.72972973,6.595238095,6.337837838
12,How to drink wine? Open a bottle. ,drink wine,open a bottle,12,16,4,1,97,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667,11,3,4,3.7,5.964285714,6.111111111,6.627906977,7
13,How to entertain oneself? Watch television.,entertain oneself,watch television,13,28,5,1,97,16,2,5,2.3,3.035714286,1.5,2.931034483,3.565789474,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217
14,How to entertain others? Write a song.,entertain others,write a song,14,19,5,1,90,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632
15,How to express a talent? Entertain others.,express a talent,entertain others,15,19,6,1,93,14,3,5,2.9,3.583333333,2.324324324,2.850574713,3.631578947,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895
16,How to express doubt? Use scissors.,express doubt,use scissors,16,8,5,2,93,12,2,3,2.9,2.195121951,2.583333333,2.264367816,3.407894737,11,2,3,3.4,5.734939759,5.972222222,6.609195402,6.684210526
17,How to feel connected? Contact a friend.,feel connected,contact a friend,17,3,6,1,100,13,2,4,3.2,2.154761905,1.558823529,1.642857143,2.346666667,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368
18,How to feel nostalgia? Keep a memory.,feel nostalgia,keep a memory,18,8,6,1,100,13,2,4,3,1.524390244,2.416666667,1.464285714,2.907894737,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333
19,How to feel productive? Finish a job.,feel productive,finish a job,19,13,6,1,100,14,2,4,3.3,2.43373494,2.027027027,1.797619048,2.815789474,10,3,4,4,4.148148148,3.513513514,4.494252874,3.657894737
20,How to feel secure? Save money.,feel secure,save money,20,18,6,1,91,10,2,3,3.6,1.915662651,1.972222222,1.634146341,2.828947368,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105
21,How to feel sociable? Hold a party.,feel sociable,hold a party,21,25,6,1,100,12,2,4,3.1,2.214285714,2.081081081,1.83908046,3.026315789,10,3,4,4.2,4.369047619,4.162162162,5.034482759,5.25
22,How to feel well? Reduce pain.,feel well,reduce pain,22,17,6,1,97,8,2,2,3.9,3.178571429,2.189189189,1.987804878,3.315789474,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316
23,How to gain knowledge? Read articles.,gain knowledge,read articles,23,4,5,1,97,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514
24,How to get a degree? Attend a school.,get a degree,attend a school,24,11,6,1,100,11,3,4,4.1,2.797619048,3.702702703,4.574712644,4.171052632,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333
25,How to get a promotion? Arrive on time.,get a promotion,arrive on time,25,27,5,1,89,13,3,5,4.1,2.831325301,4.081081081,3.850574713,3.539473684,12,3,4,4,4.238095238,5.416666667,4.379310345,4.328947368
26,How to give a lecture? Brush ones hair.,give a lecture,brush ones hair,26,23,4,2,94,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053,14,3,3,3.3,5.964285714,6.606060606,6.651162791,7
27,How to give applause? Clap hands.,give applause,clap hands,27,2,4,1,97,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081,10,2,3,3.2,6.107142857,6.685714286,7,7
28,How to give to charity? Use a camera.,give to charity,use a camera,28,1,5,2,100,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368,10,3,5,3.8,4.857142857,5.513513514,6.360465116,6.689189189
29,How to go shopping? Use credit cards.,go shopping,use credit cards,29,26,4,1,86,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301,14,3,5,3.6,4.892857143,5.285714286,6.214285714,6.540540541
30,How to impress others? Show intelligence.,impress others,show intelligence,30,14,6,1,100,13,2,4,3.2,3.548780488,2.108108108,2.258823529,2.92,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667
31,How to improve oneself? Gain knowledge.,improve oneself,gain knowledge,31,4,6,1,97,14,2,4,2.3,3.202380952,1.129032258,2.022988506,2.813333333,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842
32,How to kill germs? Wash ones hands.,kill germs,wash ones hands,32,10,4,1,97,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947,14,3,3,3.7,5.915662651,6.571428571,6.662650602,6.861111111
33,How to lift weights? Fasten seatbelt.,lift weights,fasten seatbelt,33,5,4,2,97,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667,14,2,4,2,5.797619048,6.588235294,6.86746988,6.878378378
34,How to live a long life? Avoid diseases.,live a long life,avoid diseases,34,10,6,1,97,13,4,4,3.1,4.369047619,3.756756757,3.298850575,3.078947368,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579
35,How to make a donation? Mix a cocktail.,make a donation,mix a cocktail,35,25,5,2,100,13,3,5,3.6,3.916666667,3.972972973,4.931034483,5.105263158,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811
36,How to make a list? Throw away trash.,make a list,throw away trash,36,6,4,2,93,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811,14,3,4,3.7,5.951219512,6.242424242,6.627906977,7
37,How to make a phone call? Dial numbers.,make a phone call,dial numbers,37,3,4,1,97,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857,11,2,3,2.9,5.523809524,5.388888889,6.548780488,6.693333333
38,How to make a purchase? Go shopping.,make a purchase,go shopping,38,26,5,1,97,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301
39,How to make art? Paint a picture.,make art,paint a picture,39,9,5,1,97,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737,13,3,4,3.4,4,4.675675676,6.134146341,6.375
40,How to make breakfast? Crack eggs.,make breakfast,crack eggs,40,12,4,1,97,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333,9,2,2,3.1,5.857142857,6.428571429,6.843373494,7
41,How to mix a cocktail? Stir ingredients.,mix a cocktail,stir ingredients,41,25,4,1,97,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811,15,2,5,2.2,5.857142857,5.571428571,6.571428571,6.546666667
42,How to open a browser? Click a mouse.,open a browser,click a mouse,42,15,4,1,93,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667,11,3,3,2.6,5.891566265,6.735294118,7,7
43,How to paint a picture? Use a brush.,paint a picture,use a brush,43,9,4,1,100,13,3,4,3.4,4,4.675675676,6.134146341,6.375,9,3,4,3.3,5.880952381,5.939393939,6.425287356,6.833333333
44,How to participate in class? Raise a hand.,participate in class,raise a hand,44,14,4,1,100,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842,10,3,3,3.8,6.083333333,6.657142857,6.642857143,6.88
45,How to plan ahead? Make a list.,plan ahead,make a list,45,6,5,1,100,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811
46,How to prepare meals? Follow recipes.,prepare meals,follow recipes,46,20,4,1,97,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667,13,2,5,2.9,3.547619048,4.621621622,5.137931034,5.666666667
47,How to provide food? Prepare meals.,provide food,prepare meals,47,20,5,1,97,11,2,3,3.4,5.109756098,3.27027027,5.436781609,5.052631579,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667
48,How to read articles? Open a magazine.,read articles,open a magazine,48,4,4,1,97,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514,13,3,6,3.6,6.036144578,6.28125,6.814814815,6.884057971
49,How to reduce pain? Consume medicine.,reduce pain,consume medicine,49,17,5,1,100,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732
50,How to reduce worry? Plan ahead.,reduce worry,plan ahead,50,6,6,1,90,11,2,4,2.4,2.097560976,2.028571429,1.802325581,2.184210526,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474
51,How to satisfy a need? Make a purchase.,satisfy a need,make a purchase,51,26,6,1,79,12,3,5,3,3.607142857,1.8,2.620689655,2.921052632,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92
52,How to satisfy hunger? Make breakfast.,satisfy hunger,make breakfast,52,12,5,1,97,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333
53,How to save money? Clip coupons.,save money,clip coupons,53,18,5,1,97,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737
54,How to show ambition? Serve alcohol.,show ambition,serve alcohol,54,24,5,2,100,12,2,4,3.3,2.530120482,2.054054054,2.012048193,2.657894737,12,2,4,3.1,5.590361446,4.324324324,6.186046512,6.178082192
55,How to show an ability? Satisfy hunger.,show an ability,satisfy hunger,55,12,6,2,97,13,3,6,3.6,3.719512195,2.054054054,3.298850575,3.315789474,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632
56,How to show appreciation? Give applause.,show appreciation,give applause,56,2,5,1,100,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081
57,How to show cleanliness? Write an email.,show cleanliness,write an email,57,15,6,2,97,15,2,4,2.9,4.523809524,3.567567568,4.022988506,4.171052632,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493
58,How to show creativity? Make art.,show creativity,make art,58,9,6,1,97,14,2,6,3.1,2.547619048,1.161290323,2.348837209,3.25,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737
