TrialN,Condition,Correct,Stimulus,ScheduledOnset
1,3,1,105,6
2,5,1,50,11.446
3,2,1,111,20.286
4,2,1,142,25.357
5,6,1,32,33.839
6,6,1,5,38.821
7,1,1,77,44.089
8,5,1,15,49.839
9,5,1,72,55.125
10,3,2,123,63.982
11,2,1,95,71.375
12,6,1,21,76.339
13,6,2,56,81.107
14,1,1,86,85.964
15,3,1,121,91.804
16,3,1,125,97.411
17,3,1,81,102.161
18,1,2,137,107.16
19,4,1,7,116.12
20,4,1,10,121.71
21,6,1,22,127.66
22,1,1,114,132.64
23,1,1,76,137.5
24,3,1,118,142.37
25,2,2,143,148.43
26,2,1,100,154.04
27,4,1,45,159.79
28,4,1,69,165.11
29,3,1,106,174.18
30,5,1,62,179.41
31,5,1,6,186.12
32,3,1,89,194.09
33,1,1,141,199.14
34,6,1,64,204.57
35,6,1,65,209.82
36,2,1,80,215.55
37,5,2,36,222.02
38,5,1,26,227.71
39,1,1,91,233.77
40,3,1,124,239.32
41,4,1,49,244.86
42,4,2,9,249.71
43,2,1,128,255.37
44,2,1,88,260.41
45,6,1,59,265.23
46,6,1,25,270.46
47,3,1,98,277.36
48,5,2,17,282.52
49,5,1,14,287.48
50,1,1,84,293.14
51,2,1,112,298.71
52,2,2,134,304.02
53,6,2,63,309.05
54,4,2,37,314.8
55,4,1,38,319.64
56,5,1,54,327.79
57,3,2,75,333.41
58,3,1,115,338.2
59,4,1,68,344.29
60,1,2,135,349.45
61,1,1,133,354.34
62,2,1,97,360.79
63,2,1,85,365.62
64,4,1,41,370.64
65,6,1,18,377.54
66,6,1,51,382.73
67,5,1,24,389.2
68,5,1,2,394.18
69,4,1,47,399.82
70,4,1,42,404.75
71,1,1,116,409.98
72,1,1,108,415.16
1,3,1,96,6
2,5,2,55,12.464
3,6,2,60,17.232
4,6,1,52,22.839
5,2,1,87,31.107
6,2,1,107,36.232
7,1,1,101,41.821
8,5,1,11,47.554
9,5,1,39,53.25
10,3,1,113,58.589
11,2,1,102,64.339
12,6,1,19,69.804
13,6,1,3,74.661
14,1,1,127,79.446
15,3,2,119,84.661
16,3,1,90,90.339
17,3,1,92,95.143
18,1,1,132,101.446
19,4,1,70,107.07
20,4,1,28,111.86
21,6,1,61,117.04
22,1,1,82,122
23,1,2,129,127.66
24,3,1,99,133.14
25,2,1,78,139.64
26,2,1,109,145.14
27,4,1,66,150.86
28,4,1,30,157.82
29,3,1,144,163.73
30,5,1,4,169.54
31,5,1,8,175.18
32,3,1,73,183.61
33,1,1,136,189.27
34,6,1,23,195.7
35,6,2,58,202.5
36,2,1,117,207.27
37,5,1,57,214.79
38,5,1,46,219.62
39,1,1,126,224.43
40,3,1,74,229.61
41,4,1,43,236.48
42,4,2,27,241.45
43,2,2,130,249.45
44,2,1,94,254.3
45,6,1,1,259.45
46,6,1,20,264.7
47,3,1,93,270.39
48,5,1,40,276.04
49,5,1,48,281.32
50,1,1,139,287.96
51,2,2,140,294.82
52,2,1,103,299.86
53,6,1,35,305.46
54,4,2,34,310.7
55,4,1,12,315.52
56,5,1,67,324.62
57,3,2,120,330.3
58,3,1,122,335.12
59,4,1,13,339.87
60,1,2,131,346.46
61,1,1,138,351.75
62,2,1,104,358.93
63,2,1,79,364.5
64,4,1,71,370.02
65,6,1,31,375.32
66,6,1,16,380.11
67,5,1,53,386.04
68,5,2,29,390.93
69,4,1,44,397.43
70,4,1,33,402.32
71,1,1,83,409.21
72,1,1,110,414.02
