q_and_a,cue_text,answer_raw_text
How to achieve success? Get a promotion.,achieve success,get a promotion
How to attend a school? Enter a classroom.,attend a school,enter a classroom
How to avoid boredom? Entertain oneself.,avoid boredom,entertain oneself
How to avoid diseases? Kill germs.,avoid diseases,kill germs
How to avoid mistakes? Obey laws.,avoid mistakes,obey laws
How to build muscles? Lift weights.,build muscles,lift weights
How to clip coupons? Cut paper.,clip coupons,cut paper
How to consume alcohol? Drink wine.,consume alcohol,drink wine
How to consume caffeine? Press buttons.,consume caffeine,press buttons
How to consume medicine? Take pills. ,consume medicine,take pills
How to contact a friend? Make a phone call.,contact a friend,make a phone call
How to dress formally? Wear ties. ,dress formally,wear ties
How to drink wine? Open a bottle. ,drink wine,open a bottle
How to entertain oneself? Watch television.,entertain oneself,watch television
How to entertain others? Write a song.,entertain others,write a song
How to express a talent? Entertain others.,express a talent,entertain others
How to express doubt? Use scissors.,express doubt,use scissors
How to feel connected? Contact a friend.,feel connected,contact a friend
How to feel nostalgia? Keep a memory.,feel nostalgia,keep a memory
How to feel productive? Finish a job.,feel productive,finish a job
How to feel secure? Save money.,feel secure,save money
How to feel sociable? Hold a party.,feel sociable,hold a party
How to feel well? Reduce pain.,feel well,reduce pain
How to gain knowledge? Read articles.,gain knowledge,read articles
How to get a degree? Attend a school.,get a degree,attend a school
How to get a promotion? Arrive on time.,get a promotion,arrive on time
How to give a lecture? Brush ones hair.,give a lecture,brush ones hair
How to give applause? Clap hands.,give applause,clap hands
How to give to charity? Use a camera.,give to charity,use a camera
How to go shopping? Use credit cards.,go shopping,use credit cards
How to impress others? Show intelligence.,impress others,show intelligence
How to improve oneself? Gain knowledge.,improve oneself,gain knowledge
How to kill germs? Wash ones hands.,kill germs,wash ones hands
How to lift weights? Fasten seatbelt.,lift weights,fasten seatbelt
How to live a long life? Avoid diseases.,live a long life,avoid diseases
How to make a donation? Mix a cocktail.,make a donation,mix a cocktail
How to make a list? Throw away trash.,make a list,throw away trash
How to make a phone call? Dial numbers.,make a phone call,dial numbers
How to make a purchase? Go shopping.,make a purchase,go shopping
How to make art? Paint a picture.,make art,paint a picture
How to make breakfast? Crack eggs.,make breakfast,crack eggs
How to mix a cocktail? Stir ingredients.,mix a cocktail,stir ingredients
How to open a browser? Click a mouse.,open a browser,click a mouse
How to paint a picture? Use a brush.,paint a picture,use a brush
How to participate in class? Raise a hand.,participate in class,raise a hand
How to plan ahead? Make a list.,plan ahead,make a list
How to prepare meals? Follow recipes.,prepare meals,follow recipes
How to provide food? Prepare meals.,provide food,prepare meals
How to read articles? Open a magazine.,read articles,open a magazine
How to reduce pain? Consume medicine.,reduce pain,consume medicine
How to reduce worry? Plan ahead.,reduce worry,plan ahead
How to satisfy a need? Make a purchase.,satisfy a need,make a purchase
How to satisfy hunger? Make breakfast.,satisfy hunger,make breakfast
How to save money? Clip coupons.,save money,clip coupons
How to show ambition? Serve alcohol.,show ambition,serve alcohol
How to show an ability? Satisfy hunger.,show an ability,satisfy hunger
How to show appreciation? Give applause.,show appreciation,give applause
How to show cleanliness? Write an email.,show cleanliness,write an email
How to show creativity? Make art.,show creativity,make art
How to show humility? Build muscles.,show humility,build muscles
How to show intellect? Share ideas.,show intellect,share ideas
How to show intelligence? Participate in class.,show intelligence,participate in class
How to spread joy? Get a job.,spread joy,get a job
